solicitation_number,solicitation_title,agency,source_url,document_id,document_sha256,attachment_name,clause_id,clause_text
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,dcpass_1e8191d7a385a915,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,DCKA-2019-Q-0041_Amd3.pdf,dcpass_1e8191d7a385a915_c00000,AMENDMENT OF SOLICITATION / MODIFICATION OF CONTRACT
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,dcpass_1e8191d7a385a915,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,DCKA-2019-Q-0041_Amd3.pdf,dcpass_1e8191d7a385a915_c00001,Amendment/Modification Number 3. Effective Date 4. Requisition/Purchase Request No. 5. Caption Design Services for the DC PLUG Program Amendment 3 S ee Box 16C
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,dcpass_1e8191d7a385a915,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,DCKA-2019-Q-0041_Amd3.pdf,dcpass_1e8191d7a385a915_c00002,"Issued by: Code 7. Administered by (If other than line 6) District Department of Transportation Office of Contracting and Procurement 55 M Street, SE, 7th Floor Washington, DC 20003"
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,dcpass_1e8191d7a385a915,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,DCKA-2019-Q-0041_Amd3.pdf,dcpass_1e8191d7a385a915_c00003,"Name and Address of Contractor (No. street, city, county, state and zip code) X 9A. Amendment of Solicitation No. DCKA-2019-Q-0041 9B. Dated (See Item 11) 5/7/2019 10A. Modification of Contract/Order No. 10B. Dated (See Item 13) Code Facility"
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,dcpass_1e8191d7a385a915,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,DCKA-2019-Q-0041_Amd3.pdf,dcpass_1e8191d7a385a915_c00004,"THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in item 14. The hour and date specified for receipt of Offers is extended. is not extended. Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods: ( a) B y completing Items 8 and 15, and returning ___1______ copy of the amendment: (b) By acknowledging receipt of this amendment on each copy of the offer submitted; or (c) BY separate letter or fax which includes a reference to the solicitation and amendment number. FAILURE OF YOUR ACKNOWLEDGMENT TO"
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,dcpass_1e8191d7a385a915,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,DCKA-2019-Q-0041_Amd3.pdf,dcpass_1e8191d7a385a915_c00005,"OF YOUR OFFER. If by virtue of this amendment you desire to change an offer already submitted, such may be made by letter or fax, provided each letter or telegram makes reference to the solicitation and this amendment, and is received prior to the opening hour and date specified."
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,dcpass_1e8191d7a385a915,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,DCKA-2019-Q-0041_Amd3.pdf,dcpass_1e8191d7a385a915_c00006,Accounting and Appropriation Data (If Required):
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,dcpass_1e8191d7a385a915,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,DCKA-2019-Q-0041_Amd3.pdf,dcpass_1e8191d7a385a915_c00007,"THIS ITEM APPLIES ONLY TO MODIFICATIONS OF CONTRACTORS/ORDERS,"
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,dcpass_1e8191d7a385a915,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,DCKA-2019-Q-0041_Amd3.pdf,dcpass_1e8191d7a385a915_c00008,"CONTRACT/ORDER NO. AS DESCRIBED IN ITEM 14 A. This change order is issued pursuant to (Specify Authority): The changes set forth in Item 14 are made in the contract/order no. in item 10A. B. The above numbered contract/order is modified to reflect the administrative changes (such as changes in paying office, appropriation data etc.) set forth in item 14, pursuant to the authority of 27 DCMR, Chapter 36, Section 3601.2. C. This supplemental agreement is entered into pursuant to authority of: D. Other (Specify type of modification and authority) E. IMPORTANT: Contractor is not is required to sign this document and return _____ copy to the issuing office."
DCKA-2019-Q-0041,Design Services for the DC PLUG Program,DDOT,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LVEtMDA0McKme0IwN0E5NDZCLTAwMDAtQzAxQi05NkU0LTRCMUFBQTM4NUZBQn0=,dcpass_1e8191d7a385a915,1e8191d7a385a915a05e7b08a70d704d464ea727d603947da3c4d27602cd9cbd,DCKA-2019-Q-0041_Amd3.pdf,dcpass_1e8191d7a385a915_c00009,"Description of Amendment/Modification (Organized by UCF Section headings, including solicitation/contract subject matter where feasible.) This amendment is issued to provide the following information:"
